artist,price,date,venue,songid1,songid2,deleted
The Front Bottoms,$32,12-01-2018,Fillmore Auditorium,0tCJ4iU48j9B6xMjXx35Ht,2UJ2JvrxU5Ue1y08o5TzqJ,FALSE
Manchester Orchestra,$32,12-01-2018,Fillmore Auditorium,3EytfC22ikoXM921cJbejn,4G9aoDV0KAsAYqTEKY53BF,FALSE
Billy Strings,$20-$25,12-01-2018,Gothic Theatre,3OQMICEnoXIsMD4jYtOC7F,2Lk8XTulavagQOrYqFpGB8,FALSE
Tera Melos,$25/$30,12-04-2018,Ogden Theatre,7nID1npv2tn9TNcoCxhSjz,6eAINkmODZcRSkPZq1BKwY,FALSE
Minus the Bear,$25/$30,12-04-2018,Ogden Theatre,5UMC0HkqpmwarA1HZ7z3Ck,1srXSgQdy5TKVzjD1THU7n,FALSE
Nick Waterhouse,$25.50,12-07-2018,Gothic Theatre,2NF8A7C6tICScdRaZ0BrEe,5qVVPptGHVCPMci6NCbLCq,FALSE
Allen Stone,$25.50,12-07-2018,Gothic Theatre,2fewvKX1SzRMfNdQDnyoQj,5kJwePyb1DXdUId90Ug99J,FALSE
Dua Lipa,$35,12-10-2018,Fillmore Auditorium,7ef4DlsgrMEH11cDZd32M6,76cy1WJvNGJTj78UqeA5zr,FALSE
John Grant,$25,12-11-2018,Bluebird Theater,6VUZPvmjW2Mwcr0da4qb1y,4XluehCQCnhhYD4cAd9Wfu,FALSE
Khruangbin,$20-$25,12-15-2018,Ogden Theatre,4AKUOaCRcoKTFnVI9LtsrN,2OQ1V0e2O56AeIo4ywuYKF,FALSE
Jon Stickley Trio,$35-$50,12-30-2018,Ogden Theatre,7kehEpXzKvNE0sx7Rv3YS6,6GNZGWqtB3pHbmKtmMPrt5,FALSE
The Infamous Stringdusters,$35-$50,12-30-2018,Ogden Theatre,2FQSGNFGue5t8M4q0NyB3J,0VWLyUPivk937OzZC4KjZA,FALSE
The Drunken Hearts,$35-$50,12-30-2018,Ogden Theatre,1hVUh2cLJTWtqScalFrqPO,1oIE7Hm1HG4R2zWs5BNp6H,FALSE
James Bay,$35,03-22-2019,Fillmore Auditorium,13HVjjWUZFaWilh2QUJKsP,4tYokojnBEp5pBWO7wTRPA,FALSE
Julien Baker,$23-$25,11-19-2018,Ogden Theatre,46Vogr8UvzcVPAgDvBpDIr,2jGAR1n5D2z8WXYLsmjE4P,FALSE
Lucy Dacus,$23-$25,11-19-2018,Ogden Theatre,0lp0bQqzyLmNNHHFYRaaJf,2jGAR1n5D2z8WXYLsmjE4P,FALSE
Phoebe Bridgers,$23-$25,11-19-2018,Ogden Theatre,0jqFM7E9z1PLYtPVCuFwAi,6LxcPUqx6noURdA5qc4BAT,FALSE
